"","Suburb","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"2","1",2,"1",1480000,"3","34","61","82","55","2","1","1",202,"33",-37.7996,144.9984,"4","191"
"3","1",2,"1",1035000,"3","34","64","82","55","2","1","0",156,"33",-37.8079,144.9934,"4","191"
"5","1",3,"1",1465000,"6","34","65","82","55","3","2","0",134,"33",-37.8093,144.9944,"4","191"
"6","1",3,"1",850000,"1","34","65","82","55","3","2","1",94,"33",-37.7969,144.9969,"4","191"
"7","1",4,"1",1600000,"8","246","66","82","55","3","1","2",120,"33",-37.8072,144.9941,"4","191"
"11","1",2,"1",941000,"3","171","71","82","55","2","1","0",181,"33",-37.8041,144.9953,"4","191"
"12","1",3,"1",1876000,"3","246","71","82","55","4","2","0",245,"33",-37.8024,144.9993,"4","191"
"15","1",2,"1",1636000,"3","246","76","82","55","2","1","2",256,"33",-37.806,144.9954,"4","191"
"18","1",1,"3",300000,"3","34","76","82","55","1","1","1",0,"33",-37.8008,144.9973,"4","191"
"19","1",2,"1",1097000,"3","34","76","82","55","3","1","2",220,"33",-37.801,144.9989,"4","191"
"24","1",2,"3",700000,"8","171","11","82","55","2","2","1",0,"33",-37.811,145.0067,"4","191"
"25","1",3,"1",1350000,"8","246","11","82","55","3","2","2",214,"33",-37.8085,144.9964,"4","191"
"26","1",2,"3",750000,"3","34","11","82","55","2","2","1",0,"33",-37.8078,144.9965,"4","191"
"29","1",2,"1",1172500,"3","34","13","82","55","2","1","1",195,"33",-37.8084,144.9973,"4","191"
"30","1",1,"3",441000,"6","126","14","82","55","1","1","1",0,"33",-37.8016,144.9988,"4","191"
"31","1",2,"1",1310000,"3","171","17","82","55","2","1","2",238,"33",-37.809,144.9976,"4","191"
"33","1",3,"1",1200000,"3","171","19","82","55","3","2","1",113,"33",-37.8056,144.993,"4","191"
"36","1",3,"1",1176500,"3","200","19","82","55","2","1","1",138,"33",-37.8021,144.9965,"4","191"
"37","1",3,"1",955000,"3","76","24","82","55","3","1","0",183,"33",-37.8022,144.9975,"4","191"
"38","1",2,"1",890000,"3","34","24","82","55","2","1","1",150,"33",-37.8011,145.0004,"4","191"
"39","1",4,"1",1330000,"1","184","25","82","55","4","2","2",780,"33",-37.8073,144.9952,"4","191"
"41","1",3,"2",900000,"3","28","25","82","55","3","2","2",0,"33",-37.8093,144.9959,"4","191"
"42","1",3,"3",1090000,"3","171","25","82","55","3","2","2",4290,"33",-37.8078,144.9965,"4","191"
"43","1",2,"3",500000,"3","76","26","82","55","2","1","1",0,"33",-37.8015,144.9972,"4","191"
"44","1",2,"1",1100000,"1","34","26","82","55","2","2","1",124,"33",-37.8079,144.9977,"4","191"
"45","1",2,"1",1315000,"3","214","29","82","55","2","1","0",147,"33",-37.808,144.994,"4","191"
