id,taste
1,normal
2,normal
3,bad
4,normal
5,good
6,good
7,normal
8,normal
9,good
10,normal
11,normal
12,normal
13,normal
14,good
15,normal
16,bad
17,bad
18,good
19,bad
20,bad
21,bad
22,normal
23,bad
24,bad
25,normal
26,normal
27,good
28,bad
29,bad
30,normal
31,normal
32,normal
33,good
34,good
35,bad
36,normal
37,bad
38,normal
39,good
40,bad
41,bad
42,bad
43,normal
44,bad
45,bad
46,bad
47,normal
48,bad
49,bad
50,bad
51,bad
52,bad
53,normal
54,bad
55,bad
56,bad
57,normal
58,normal
59,bad
60,normal
61,bad
62,good
63,bad
64,bad
65,good
66,bad
67,normal
68,bad
69,bad
70,good
71,good
72,bad
73,good
74,bad
75,normal
76,normal
77,good
78,normal
79,bad
80,bad
81,normal
82,normal
83,normal
84,normal
85,good
86,good
87,normal
88,normal
89,normal
90,normal
91,normal
92,normal
93,normal
94,good
95,good
96,good
97,bad
98,bad
99,bad
100,normal
101,bad
102,bad
103,normal
104,normal
105,bad
106,bad
107,normal
108,normal
109,normal
110,bad
111,bad
112,bad
113,bad
114,bad
115,good
116,good
117,good
118,good
119,bad
120,normal
121,normal
122,normal
123,normal
124,normal
125,good
126,bad
127,good
128,normal
129,normal
130,normal
131,normal
132,normal
133,bad
134,normal
135,normal
136,bad
137,normal
138,normal
139,good
140,good
141,good
142,normal
143,good
144,bad
145,good
146,bad
147,bad
148,good
149,normal
150,bad
151,normal
152,normal
153,bad
154,bad
155,normal
156,bad
157,bad
158,normal
159,bad
160,normal
161,bad
162,bad
163,good
164,normal
165,normal
166,bad
167,good
168,bad
169,bad
170,good
171,normal
172,bad
173,bad
174,bad
175,bad
176,bad
177,bad
178,normal
179,bad
180,normal
181,normal
182,good
183,bad
184,good
185,bad
186,normal
187,normal
188,normal
189,normal
190,normal
191,bad
192,good
193,normal
194,bad
195,good
196,good
197,good
198,good
199,bad
200,good
201,normal
202,good
203,bad
204,normal
205,normal
206,bad
207,bad
208,normal
209,normal
210,good
211,bad
212,normal
213,good
214,good
215,good
216,bad
217,good
218,good
219,normal
220,bad
221,normal
222,normal
223,normal
224,good
225,normal
226,normal
227,bad
228,bad
229,bad
230,bad
231,bad
232,good
233,normal
234,good
235,normal
236,normal
237,bad
238,good
239,bad
240,bad
241,bad
242,bad
243,bad
244,normal
245,good
246,good
247,bad
248,good
249,good
250,bad
251,bad
252,normal
253,normal
254,bad
255,bad
256,normal
257,normal
258,good
259,normal
260,normal
261,normal
262,bad
263,bad
264,normal
265,good
266,normal
267,normal
268,bad
269,good
270,bad
271,bad
272,bad
273,good
274,bad
275,good
276,normal
277,good
278,bad
279,normal
280,bad
281,normal
282,normal
283,bad
284,good
285,normal
286,normal
287,bad
288,bad
289,good
290,bad
291,normal
292,bad
293,normal
294,good
295,bad
296,bad
297,bad
298,bad
299,normal
300,normal
301,normal
302,bad
303,bad
304,normal
305,good
306,normal
307,normal
308,good
309,good
310,normal
311,bad
312,bad
313,normal
314,normal
315,normal
316,good
317,bad
318,good
319,normal
320,good
321,normal
322,bad
323,good
324,normal
325,bad
326,normal
327,normal
328,normal
329,bad
330,normal
331,good
332,bad
333,bad
334,normal
335,bad
336,normal
337,bad
338,normal
